ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description,Page Count,Language,Genre
385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg,,,,
451191153,The Fountainhead,Ayn Rand,1996,New American Library,http://images.amazon.com/images/P/0451191153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451191153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451191153.01.LZZZZZZZ.jpg,,,,
440900794,The Giver,Lois Lowry,1994,Random House Childrens Pub,http://images.amazon.com/images/P/0440900794.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440900794.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440900794.01.LZZZZZZZ.jpg,,,,
140042393,The Grapes of Wrath,John Steinbeck,1976,Penguin USA,http://images.amazon.com/images/P/0140042393.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140042393.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140042393.01.LZZZZZZZ.jpg,,,,
684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner,http://images.amazon.com/images/P/0684801523.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684801523.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684801523.01.LZZZZZZZ.jpg,,,,
671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982,Pocket,http://images.amazon.com/images/P/0671461494.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg,,,,
345272579,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books,http://images.amazon.com/images/P/0345272579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.LZZZZZZZ.jpg,,,,
670835102,The Iliad,Homer,1990,Viking Books,http://images.amazon.com/images/P/0670835102.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670835102.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670835102.01.LZZZZZZZ.jpg,,,,
804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,,,,
451524209,The Jungle,Upton Beall Sinclair,1981,Signet Book,http://images.amazon.com/images/P/0451524209.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451524209.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451524209.01.LZZZZZZZ.jpg,,,,
1594480001,The Kite Runner,Khaled Hosseini,2004,Riverhead Books,http://images.amazon.com/images/P/1594480001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1594480001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1594480001.01.LZZZZZZZ.jpg,,,,
156528207,The Little Prince,Antoine de Saint-Exupéry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156528207.01.LZZZZZZZ.jpg,,,,
395489326,The Lord of the Rings,J. R. R. Tolkien,1988,Houghton Mifflin Company,http://images.amazon.com/images/P/0395489326.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395489326.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395489326.01.LZZZZZZZ.jpg,,,,
1400047951,The Metamorphosis,Peter Kuper,2003,Crown,http://images.amazon.com/images/P/1400047951.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400047951.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400047951.01.LZZZZZZZ.jpg,,,,
441574467,The Nightingale,Kara Dalkey,1991,Ace Books,http://images.amazon.com/images/P/0441574467.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441574467.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441574467.01.LZZZZZZZ.jpg,,,,
1853260258,The Odyssey,Homer,1998,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260258.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260258.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260258.01.LZZZZZZZ.jpg,,,,
081615970X,The Old Man and the Sea,Ernest Hemingway,1994,Thorndike Pr,http://images.amazon.com/images/P/081615970X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/081615970X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/081615970X.01.LZZZZZZZ.jpg,,,,
1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports,http://images.amazon.com/images/P/1593080255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1593080255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1593080255.01.LZZZZZZZ.jpg,,,,
553210092,The Scarlet Letter,NATHANIEL HAWTHORNE,1965,Bantam,http://images.amazon.com/images/P/0553210092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553210092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553210092.01.LZZZZZZZ.jpg,,,,
812505018,The Secret Garden,Frances Hodgson Burnett,1989,Tor Books,http://images.amazon.com/images/P/0812505018.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812505018.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812505018.01.LZZZZZZZ.jpg,,,,
743424425,The Shining,Stephen King,2001,Pocket,http://images.amazon.com/images/P/0743424425.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743424425.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743424425.01.LZZZZZZZ.jpg,,,,
749309423,The Silence of the Lambs,Thomas Harris,1991,Mandarin,http://images.amazon.com/images/P/0749309423.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0749309423.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0749309423.01.LZZZZZZZ.jpg,,,,
385121687,The Stand,STEPHEN KING,1978,Doubleday,http://images.amazon.com/images/P/0385121687.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385121687.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385121687.01.LZZZZZZZ.jpg,,,,
394700023,The Stranger,Albert Camus,1954,Vintage Books USA,http://images.amazon.com/images/P/0394700023.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394700023.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394700023.01.LZZZZZZZ.jpg,,,,
451203267,The Stranger Beside Me,Ann Rule,2001,Signet Book,http://images.amazon.com/images/P/0451203267.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451203267.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451203267.01.LZZZZZZZ.jpg,,,,
684718081,The Sun Also Rises,Ernest Hemingway,1926,Scribner Book Company,http://images.amazon.com/images/P/0684718081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684718081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684718081.01.LZZZZZZZ.jpg,,,,
193156146X,The Time Traveler's Wife,Audrey Niffenegger,2003,MacAdam/Cage Publishing,http://images.amazon.com/images/P/193156146X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/193156146X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/193156146X.01.LZZZZZZZ.jpg,,,,
425141365,The Underground Railroad,Charles L. Blockson,1994,Berkley Pub Group,http://images.amazon.com/images/P/0425141365.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425141365.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425141365.01.LZZZZZZZ.jpg,,,,
446352063,The White Tiger,Robert Nathan,1988,Warner Books,http://images.amazon.com/images/P/0446352063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446352063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446352063.01.LZZZZZZZ.jpg,,,,
312148267,The Wind in the Willows,Kenneth Grahame,1996,St. Martin's Press,http://images.amazon.com/images/P/0312148267.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312148267.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312148267.01.LZZZZZZZ.jpg,,,,
701135832,The Witching Hour,Anne Rice,1991,Chatto and Windus,http://images.amazon.com/images/P/0701135832.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0701135832.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0701135832.01.LZZZZZZZ.jpg,,,,
451519043,The Woman in White,Wilkie Collins,1985,New Amer Library,http://images.amazon.com/images/P/0451519043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451519043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451519043.01.LZZZZZZZ.jpg,,,,
60935464,To Kill a Mockingbird,Harper Lee,2002,Perennial Classics,http://images.amazon.com/images/P/0060935464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060935464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060935464.01.LZZZZZZZ.jpg,,,,
156907380,To the Lighthouse,Virginia Woolf,1978,Harvest Books,http://images.amazon.com/images/P/0156907380.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0156907380.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0156907380.01.LZZZZZZZ.jpg,,,,
393096653,Walden,Henry David Thoreau,1966,W.W. Norton &amp; Company Ltd,http://images.amazon.com/images/P/0393096653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393096653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393096653.01.LZZZZZZZ.jpg,,,,
859533565,War and Peace,Toni Goffe,1991,Child's Play International Ltd,http://images.amazon.com/images/P/0859533565.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0859533565.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0859533565.01.LZZZZZZZ.jpg,,,,
590425919,White Fang,Jack London,1989,Apple Classics (Scholastic),http://images.amazon.com/images/P/0590425919.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0590425919.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0590425919.01.LZZZZZZZ.jpg,,,,
553211412,Wuthering Heights,Emily Bronte,1983,Bantam,http://images.amazon.com/images/P/0553211412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553211412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553211412.01.LZZZZZZZ.jpg,,,,
553207083,Zen and the Art of Motorcycle Maintenance,Robert M Pirsig,1982,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553207083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553207083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553207083.01.LZZZZZZZ.jpg,,,,
